,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,36.54581673306773,9173,0,399,6.330677290836653,1589,0,50,30.215139442231077,7584,0,349,164.1394422310757,41199,0,2412,7.087649402390438,1779,0,237,29.45816733067729,7394,0,162,170.47410358565736,42789,0,1134,20.03585657370518,5029.0,0.0,123.0,2.7211155378486054,683.0,0.0,11.0,17.314741035856574,4346.0,0.0,120.0,104.49003984063745,26227.0,0.0,1538.0,3.6175298804780875,908.0,0.0,71.0,16.41832669322709,4121.0,0.0,93.0,104.49003984063745,26227.0,0.0,892.0,73.66533864541833,18490,19,423,36.54581673306773,9173,0,399,37.1195219123506,9317,1,219,18.5,4625.0,1.0,62.0,8.964,2241.0,0.0,57.0,9.536,2384.0,0.0,43.0,
1,43.56837606837607,10195,0,846,4.897435897435898,1146,0,22,38.67094017094017,9049,0,825,311.9102564102564,72987,0,10796,6.739316239316239,1577,0,846,36.82905982905983,8618,0,600,240.81623931623932,56351,0,1529,21.61111111111111,5057.0,0.0,201.0,2.2777777777777777,533.0,0.0,8.0,19.333333333333332,4524.0,0.0,199.0,174.17521367521368,40757.0,0.0,3655.0,1.5,351.0,0.0,201.0,20.11111111111111,4706.0,0.0,177.0,174.17521367521368,40757.0,0.0,1140.0,73.21367521367522,17132,15,846,43.56837606837607,10195,0,846,29.645299145299145,6937,0,229,22.478448275862068,5215.0,1.0,72.0,11.818965517241379,2742.0,0.0,65.0,10.65948275862069,2473.0,0.0,51.0,
2,39.077922077922075,9027,0,464,7.896103896103896,1824,0,98,31.181818181818183,7203,0,366,159.87445887445887,36931,0,3124,13.155844155844155,3039,0,338,25.92207792207792,5988,0,212,123.2034632034632,28460,0,735,17.11255411255411,3953.0,0.0,152.0,3.272727272727273,756.0,0.0,17.0,13.83982683982684,3197.0,0.0,141.0,76.03896103896103,17565.0,0.0,1804.0,3.2857142857142856,759.0,0.0,152.0,13.826839826839826,3194.0,0.0,112.0,76.03896103896103,17565.0,0.0,570.0,64.11255411255411,14810,14,479,39.077922077922075,9027,0,464,25.034632034632036,5783,0,133,15.11353711790393,3461.0,1.0,49.0,7.903930131004367,1810.0,0.0,49.0,7.209606986899563,1651.0,0.0,47.0,
3,33.490990990990994,7435,0,160,5.8558558558558556,1300,0,35,27.635135135135137,6135,0,156,159.518018018018,35413,0,1773,7.157657657657658,1589,0,120,26.333333333333332,5846,0,123,166.7027027027027,37008,0,1060,18.855855855855857,4186.0,0.0,100.0,2.4774774774774775,550.0,0.0,11.0,16.37837837837838,3636.0,0.0,97.0,105.33333333333333,23384.0,0.0,1203.0,3.1666666666666665,703.0,0.0,59.0,15.68918918918919,3483.0,0.0,93.0,105.33333333333333,23384.0,0.0,790.0,67.88738738738739,15071,17,468,33.490990990990994,7435,0,160,34.3963963963964,7636,0,411,19.918181818181818,4382.0,1.0,64.0,9.995454545454546,2199.0,0.0,60.0,9.922727272727272,2183.0,0.0,44.0,
4,24.053140096618357,4979,0,283,3.4589371980676327,716,0,23,20.594202898550726,4263,0,267,158.01932367149757,32710,0,3497,3.21256038647343,665,0,243,20.840579710144926,4314,0,191,155.32850241545893,32153,0,1116,18.893719806763286,3911.0,0.0,172.0,2.1256038647342996,440.0,0.0,8.0,16.768115942028984,3471.0,0.0,171.0,141.4830917874396,29287.0,0.0,2909.0,1.8405797101449275,381.0,0.0,172.0,17.053140096618357,3530.0,0.0,139.0,141.4830917874396,29287.0,0.0,990.0,45.888888888888886,9499,11,285,24.053140096618357,4979,0,283,21.835748792270532,4520,2,84,23.45098039215686,4784.0,1.0,89.0,11.808823529411764,2409.0,0.0,89.0,11.642156862745098,2375.0,0.0,51.0,
5,24.529411764705884,5004,0,557,4.813725490196078,982,0,44,19.715686274509803,4022,0,513,106.61274509803921,21749,0,4697,5.602941176470588,1143,0,407,18.926470588235293,3861,0,202,95.84803921568627,19553,0,830,15.985294117647058,3261.0,0.0,180.0,2.5392156862745097,518.0,0.0,11.0,13.446078431372548,2743.0,0.0,178.0,78.6029411764706,16035.0,0.0,2209.0,1.9509803921568627,398.0,0.0,86.0,14.034313725490197,2863.0,0.0,144.0,78.6029411764706,16035.0,0.0,681.0,45.46568627450981,9275,12,568,24.529411764705884,5004,0,557,20.936274509803923,4271,0,221,15.893401015228426,3131.0,1.0,74.0,7.959390862944162,1568.0,0.0,73.0,7.934010152284264,1563.0,0.0,41.0,
6,25.46938775510204,4992,0,314,3.8877551020408165,762,0,22,21.581632653061224,4230,0,299,122.59183673469387,24028,0,2706,3.423469387755102,671,0,206,22.04591836734694,4321,0,297,119.9234693877551,23505,0,1182,16.010204081632654,3138.0,0.0,161.0,2.1020408163265305,412.0,0.0,14.0,13.908163265306122,2726.0,0.0,155.0,87.54591836734694,17159.0,0.0,1719.0,1.6683673469387754,327.0,0.0,124.0,14.341836734693878,2811.0,0.0,159.0,87.54591836734694,17159.0,0.0,657.0,47.42857142857143,9296,10,319,25.46938775510204,4992,0,314,21.959183673469386,4304,0,179,16.89119170984456,3260.0,1.0,69.0,8.414507772020725,1624.0,0.0,65.0,8.476683937823834,1636.0,0.0,39.0,
7,28.733333333333334,5603,0,294,4.476923076923077,873,0,21,24.256410256410255,4730,0,279,162.36923076923077,31662,0,3322,5.856410256410256,1142,0,289,22.876923076923077,4461,0,166,165.84102564102565,32339,0,1057,19.92820512820513,3886.0,0.0,163.0,2.358974358974359,460.0,0.0,8.0,17.56923076923077,3426.0,0.0,160.0,135.3846153846154,26400.0,0.0,2598.0,3.5128205128205128,685.0,0.0,163.0,16.415384615384614,3201.0,0.0,124.0,135.3846153846154,26400.0,0.0,960.0,56.774358974358975,11071,10,295,28.733333333333334,5603,0,294,28.04102564102564,5468,0,86,25.377659574468087,4771.0,1.0,89.0,12.462765957446809,2343.0,0.0,89.0,12.914893617021276,2428.0,0.0,53.0,
