,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,45.36746987951807,7531,0,399,6.933734939759036,1151,0,50,38.433734939759034,6380,0,349,222.63855421686748,36958,0,2412,8.24698795180723,1369,0,237,37.12048192771084,6162,0,162,217.68072289156626,36135,0,1134,26.216867469879517,4352.0,0.0,123.0,2.9698795180722892,493.0,0.0,11.0,23.246987951807228,3859.0,0.0,120.0,148.2289156626506,24606.0,0.0,1538.0,4.355421686746988,723.0,0.0,71.0,21.86144578313253,3629.0,0.0,93.0,141.36144578313252,23466.0,0.0,892.0,84.59638554216868,14043,29,423,45.36746987951807,7531,0,399,39.2289156626506,6512,1,219,23.22289156626506,3855.0,1.0,62.0,11.680722891566266,1939.0,0.0,57.0,11.542168674698795,1916.0,0.0,43.0,
1,55.1055900621118,8872,0,846,5.173913043478261,833,0,21,49.93167701863354,8039,0,825,422.6024844720497,68039,0,10796,9.012422360248447,1451,0,846,46.09316770186335,7421,0,600,305.055900621118,49114,0,1529,28.633540372670808,4610.0,0.0,201.0,2.4782608695652173,399.0,0.0,8.0,26.15527950310559,4211.0,0.0,199.0,246.36024844720498,39664.0,0.0,3655.0,2.142857142857143,345.0,0.0,201.0,26.490683229813666,4265.0,0.0,177.0,229.88198757763976,37011.0,0.0,1140.0,88.03726708074534,14174,22,846,55.1055900621118,8872,0,846,32.93167701863354,5302,0,229,28.59006211180124,4603.0,1.0,72.0,14.906832298136646,2400.0,0.0,65.0,13.683229813664596,2203.0,0.0,51.0,
2,32.3525641025641,5047,0,294,4.506410256410256,703,0,21,27.846153846153847,4344,0,279,195.57692307692307,30510,0,3322,6.75,1053,0,289,25.602564102564102,3994,0,166,196.47435897435898,30650,0,1057,23.141025641025642,3610.0,0.0,163.0,2.480769230769231,387.0,0.0,8.0,20.66025641025641,3223.0,0.0,160.0,165.14102564102564,25762.0,0.0,2598.0,3.9294871794871793,613.0,0.0,163.0,19.21153846153846,2997.0,0.0,124.0,164.31410256410257,25633.0,0.0,960.0,62.13461538461539,9693,17,295,32.3525641025641,5047,0,294,29.78205128205128,4646,0,74,29.941176470588236,4581.0,1.0,89.0,14.830065359477125,2269.0,0.0,89.0,15.11111111111111,2312.0,0.0,53.0,
3,39.23376623376623,6042,0,160,6.1103896103896105,941,0,35,33.12337662337662,5101,0,156,207.53246753246754,31960,0,1773,8.305194805194805,1279,0,120,30.928571428571427,4763,0,123,208.56493506493507,32119,0,1060,23.649350649350648,3642.0,0.0,100.0,2.7337662337662336,421.0,0.0,11.0,20.915584415584416,3221.0,0.0,97.0,143.36363636363637,22078.0,0.0,1203.0,4.090909090909091,630.0,0.0,59.0,19.558441558441558,3012.0,0.0,93.0,140.5194805194805,21640.0,0.0,790.0,77.24025974025975,11895,18,468,39.23376623376623,6042,0,160,38.006493506493506,5853,0,411,25.274509803921568,3867.0,1.0,64.0,12.745098039215685,1950.0,0.0,60.0,12.529411764705882,1917.0,0.0,44.0,
4,53.10489510489511,7594,0,464,9.643356643356643,1379,0,98,43.46153846153846,6215,0,366,238.16783216783216,34058,0,3124,18.60839160839161,2661,0,338,34.49650349650349,4933,0,212,166.44755244755245,23802,0,735,23.713286713286713,3391.0,0.0,152.0,4.0,572.0,0.0,17.0,19.713286713286713,2819.0,0.0,141.0,115.98601398601399,16586.0,0.0,1804.0,4.804195804195804,687.0,0.0,152.0,18.90909090909091,2704.0,0.0,112.0,106.66433566433567,15253.0,0.0,570.0,82.00699300699301,11727,20,479,53.10489510489511,7594,0,464,28.902097902097903,4133,0,133,19.643356643356643,2809.0,1.0,49.0,10.27972027972028,1470.0,0.0,49.0,9.363636363636363,1339.0,0.0,47.0,
5,32.184397163120565,4538,0,557,5.716312056737588,806,0,44,26.46808510638298,3732,0,513,148.8581560283688,20989,0,4697,7.567375886524823,1067,0,407,24.617021276595743,3471,0,202,125.67375886524823,17720,0,830,21.43262411347518,3022.0,0.0,180.0,3.0638297872340425,432.0,0.0,11.0,18.368794326241133,2590.0,0.0,178.0,111.09219858156028,15664.0,0.0,2209.0,2.723404255319149,384.0,0.0,86.0,18.70921985815603,2638.0,0.0,144.0,105.0,14805.0,0.0,681.0,55.06382978723404,7764,16,568,32.184397163120565,4538,0,557,22.879432624113477,3226,0,221,20.135714285714286,2819.0,1.0,74.0,10.264285714285714,1437.0,0.0,73.0,9.871428571428572,1382.0,0.0,41.0,
6,31.04964539007092,4378,0,283,3.75177304964539,529,0,23,27.29787234042553,3849,0,267,223.19858156028369,31471,0,3497,4.375886524822695,617,0,243,26.673758865248228,3761,0,191,208.70212765957447,29427,0,1116,25.06382978723404,3534.0,0.0,172.0,2.326241134751773,328.0,0.0,8.0,22.73758865248227,3206.0,0.0,171.0,202.00709219858157,28483.0,0.0,2909.0,2.652482269503546,374.0,0.0,172.0,22.411347517730498,3160.0,0.0,139.0,192.73758865248226,27176.0,0.0,990.0,55.673758865248224,7850,15,285,31.04964539007092,4378,0,283,24.624113475177303,3472,2,84,31.242857142857144,4374.0,1.0,89.0,15.692857142857143,2197.0,0.0,89.0,15.55,2177.0,0.0,51.0,
7,36.964285714285715,5175,0,315,7.571428571428571,1060,0,72,29.392857142857142,4115,0,243,173.97142857142856,24356,0,1494,10.521428571428572,1473,0,217,26.442857142857143,3702,0,199,165.40714285714284,23157,0,1186,21.014285714285716,2942.0,0.0,79.0,2.6785714285714284,375.0,0.0,10.0,18.335714285714285,2567.0,0.0,78.0,128.9857142857143,18058.0,0.0,807.0,3.657142857142857,512.0,0.0,76.0,17.357142857142858,2430.0,0.0,75.0,129.20714285714286,18089.0,0.0,793.0,65.28571428571429,9140,16,381,36.964285714285715,5175,0,315,28.321428571428573,3965,0,128,24.172661870503596,3360.0,2.0,68.0,12.050359712230216,1675.0,0.0,53.0,12.122302158273381,1685.0,0.0,54.0,
