,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22.208646616541355,23630,0,464,5.201127819548872,5534,0,98,17.007518796992482,18096,0,366,76.87687969924812,81797,0,3124,6.555451127819549,6975,0,338,15.653195488721805,16655,0,212,73.38721804511279,78084,0,1105,9.061302681992338,9460.0,0.0,152.0,2.0134099616858236,2102.0,0.0,17.0,7.047892720306513,7358.0,0.0,141.0,34.45019157088122,35966.0,0.0,1804.0,2.1590038314176243,2254.0,0.0,152.0,6.902298850574713,7206.0,0.0,112.0,34.22126436781609,35727.0,0.0,570.0,42.16823308270677,44867,6,479,22.208646616541355,23630,0,464,19.959586466165412,21237,0,411,10.62295081967213,11016.0,1.0,61.0,5.324975891996143,5522.0,0.0,53.0,5.297974927675988,5494.0,0.0,47.0,
1,21.11725452812202,22152,0,399,5.1429933269780745,5395,0,50,15.974261201143946,16757,0,349,67.49571020019066,70803,0,2412,6.63489037178265,6960,0,237,14.48236415633937,15192,0,162,63.29551954242135,66397,0,879,8.7578125,8968.0,0.0,85.0,1.7919921875,1835.0,0.0,10.0,6.9658203125,7133.0,0.0,81.0,31.7021484375,32463.0,0.0,869.0,2.3466796875,2403.0,0.0,85.0,6.4111328125,6565.0,0.0,71.0,31.32421875,32076.0,0.0,541.0,39.892278360343184,41847,1,423,21.11725452812202,22152,0,399,18.775023832221162,19695,0,219,11.547783251231527,11721.0,1.0,60.0,5.842364532019705,5930.0,0.0,54.0,5.705418719211822,5791.0,0.0,42.0,
2,20.621308016877638,19549,0,550,4.550632911392405,4314,0,62,16.070675105485233,15235,0,488,78.27637130801688,74206,0,3660,5.036919831223629,4775,0,213,15.584388185654008,14774,0,337,83.2415611814346,78913,0,1533,9.310825294748124,8687.0,0.0,100.0,1.8220793140407288,1700.0,0.0,11.0,7.488745980707395,6987.0,0.0,97.0,39.98928188638799,37310.0,0.0,1203.0,1.9710610932475885,1839.0,0.0,81.0,7.339764201500536,6848.0,0.0,93.0,40.27009646302251,37572.0,0.0,790.0,42.78902953586498,40564,5,635,20.621308016877638,19549,0,550,22.167721518987342,21015,0,376,11.539544962080173,10651.0,1.0,64.0,5.763813651137594,5320.0,0.0,60.0,5.775731310942579,5331.0,0.0,51.0,
3,20.134553283100107,18705,0,846,3.5156081808396125,3266,0,49,16.618945102260493,15439,0,825,111.46716899892357,103553,0,10796,2.4305705059203446,2258,0,846,17.703982777179764,16447,0,600,112.05812701829925,104102,0,1529,11.06942889137738,9885.0,0.0,201.0,1.6842105263157894,1504.0,0.0,8.0,9.38521836506159,8381.0,0.0,199.0,69.40649496080627,61980.0,0.0,3655.0,1.2609182530795073,1126.0,0.0,201.0,9.808510638297872,8759.0,0.0,177.0,69.61254199328107,62164.0,0.0,1140.0,40.854682454251886,37954,2,846,20.134553283100107,18705,0,846,20.720129171151775,19249,0,229,14.76271186440678,13065.0,1.0,72.0,7.387570621468926,6538.0,0.0,65.0,7.375141242937853,6527.0,0.0,51.0,
4,19.88375,15907,0,316,5.47875,4383,0,73,14.405,11524,0,291,58.93,47144,0,2345,6.9975,5598,0,213,12.88625,10309,0,239,58.0525,46442,0,1051,7.277777777777778,5764.0,0.0,97.0,1.6856060606060606,1335.0,0.0,11.0,5.592171717171717,4429.0,0.0,93.0,25.791666666666668,20427.0,0.0,1048.0,2.0176767676767677,1598.0,0.0,55.0,5.26010101010101,4166.0,0.0,80.0,25.84722222222222,20471.0,0.0,629.0,40.25375,32203,4,357,19.88375,15907,0,316,20.37,16296,0,263,9.709021601016518,7641.0,1.0,61.0,4.853875476493012,3820.0,0.0,56.0,4.855146124523507,3821.0,0.0,42.0,
5,20.565438373570522,16185,0,260,4.734434561626429,3726,0,46,15.831003811944091,12459,0,235,72.3125794155019,56910,0,2382,4.823379923761118,3796,0,163,15.742058449809402,12389,0,178,77.95679796696315,61352,0,1134,9.732119635890767,7484.0,0.0,123.0,1.8855656697009102,1450.0,0.0,11.0,7.846553966189857,6034.0,0.0,120.0,40.22366710013004,30932.0,0.0,1538.0,2.046814044213264,1574.0,0.0,65.0,7.685305591677503,5910.0,0.0,93.0,41.647594278283485,32027.0,0.0,892.0,42.69250317662008,33599,4,265,20.565438373570522,16185,0,260,22.127064803049556,17414,0,208,11.095730918499353,8577.0,1.0,62.0,5.448900388098318,4212.0,0.0,57.0,5.646830530401035,4365.0,0.0,43.0,
6,17.58076923076923,13713,0,343,4.584615384615384,3576,0,79,12.996153846153845,10137,0,279,61.32948717948718,47837,0,3322,5.680769230769231,4431,0,343,11.9,9282,0,166,60.274358974358975,47014,0,1057,8.990789473684211,6833.0,0.0,163.0,1.7921052631578946,1362.0,0.0,12.0,7.198684210526316,5471.0,0.0,160.0,42.50657894736842,32305.0,0.0,2598.0,2.275,1729.0,0.0,163.0,6.71578947368421,5104.0,0.0,124.0,42.05789473684211,31964.0,0.0,960.0,34.016666666666666,26533,4,343,17.58076923076923,13713,0,343,16.435897435897434,12820,0,137,11.660857908847184,8699.0,1.0,89.0,5.890080428954423,4394.0,0.0,89.0,5.770777479892762,4305.0,0.0,53.0,
7,22.69738651994498,16501,0,444,5.268225584594223,3830,0,74,17.429160935350758,12671,0,429,81.15268225584595,58998,0,4445,6.419532324621733,4667,0,405,16.277854195323247,11834,0,408,77.46217331499312,56315,0,1423,8.809859154929578,6255.0,0.0,145.0,1.795774647887324,1275.0,0.0,20.0,7.014084507042254,4980.0,0.0,143.0,37.37887323943662,26539.0,0.0,2071.0,1.9323943661971832,1372.0,0.0,136.0,6.877464788732395,4883.0,0.0,139.0,36.07183098591549,25611.0,0.0,568.0,43.88445667125172,31904,4,456,22.69738651994498,16501,0,444,21.18707015130674,15403,0,158,12.287339971550498,8638.0,1.0,66.0,6.162162162162162,4332.0,0.0,66.0,6.125177809388336,4306.0,0.0,38.0,
