key,file,label,node_count,edge_density,percent_difference_network_tr,percent_difference_cluster_tr,difference,tr_citing_x.1,tr_cited_x.1,tr_citing_y.1,tr_cited_y.1
0.001,output_0.001.csv_aggregated.csv,more_citing,132.0,0.0329632199861207,-0.16266666666666665,0.07476635514018691,0.23743302180685355,314.0,375.0,230.0,214.0
0.001,output_0.001.csv_aggregated.csv,more_cited,118.0,0.1009705924960162,0.022658610271903322,0.0,-0.022658610271903322,2031.0,1986.0,1757.0,1757.0
0.001,output_0.001.csv_aggregated.csv,more_citing,113.0,0.0624209860935524,-0.036,0.02903225806451613,0.06503225806451612,723.0,750.0,638.0,620.0
0.001,output_0.001.csv_aggregated.csv,more_citing,91.0,0.0732600732600732,0.001697792869269949,0.04364326375711575,0.041945470887845795,590.0,589.0,550.0,527.0
0.001,output_0.001.csv_aggregated.csv,more_cited,84.0,0.0433161216293746,0.14864864864864866,0.14285714285714285,-0.005791505791505808,170.0,148.0,112.0,98.0
0.001,output_0.001.csv_aggregated.csv,more_citing,79.0,0.0850373255436546,-0.3975069252077562,-0.29195402298850576,0.10555290221925046,435.0,722.0,308.0,435.0
0.001,output_0.001.csv_aggregated.csv,more_citing,78.0,0.0576090576090576,-0.06857142857142857,-0.05747126436781609,0.011100164203612484,163.0,175.0,82.0,87.0
0.001,output_0.001.csv_aggregated.csv,more_citing,69.0,0.0656436487638533,-0.14615384615384616,0.04395604395604396,0.19010989010989013,111.0,130.0,95.0,91.0
0.001,output_0.001.csv_aggregated.csv,more_cited,67.0,0.0705563093622795,0.45222929936305734,0.1111111111111111,-0.34111818825194623,228.0,157.0,110.0,99.0
0.001,output_0.001.csv_aggregated.csv,more_cited,66.0,0.0662004662004662,0.17094017094017094,0.009615384615384616,-0.16132478632478633,137.0,117.0,105.0,104.0
0.001,output_0.001.csv_aggregated.csv,more_citing,65.0,0.075,-0.1715686274509804,-0.03496503496503497,0.13660359248594542,169.0,204.0,138.0,143.0
0.001,output_0.001.csv_aggregated.csv,more_citing,63.0,0.0721966205837173,-0.06716417910447761,0.019801980198019802,0.08696615930249742,125.0,134.0,103.0,101.0
0.001,output_0.001.csv_aggregated.csv,more_cited,61.0,0.0792349726775956,-0.056818181818181816,-0.06040268456375839,-0.003584502745576576,166.0,176.0,140.0,149.0
0.001,output_0.001.csv_aggregated.csv,more_citing,48.0,0.0629432624113475,-0.06451612903225806,0.0,0.06451612903225806,29.0,31.0,18.0,18.0
0.001,output_0.001.csv_aggregated.csv,more_cited,48.0,0.0682624113475177,-0.1893939393939394,-0.203125,-0.013731060606060608,107.0,132.0,51.0,64.0
0.001,output_0.001.csv_aggregated.csv,more_citing,46.0,0.0763285024154589,-0.08256880733944955,0.20454545454545456,0.2871142618849041,100.0,109.0,53.0,44.0
0.001,output_0.001.csv_aggregated.csv,more_citing,36.0,0.2,-0.058823529411764705,-0.005988023952095809,0.0528355054596689,208.0,221.0,166.0,167.0
0.001,output_0.001.csv_aggregated.csv,neutral,31.0,0.1010752688172043,0.0,0.0,0.0,20.0,20.0,15.0,15.0
0.001,output_0.001.csv_aggregated.csv,more_citing,26.0,0.1138461538461538,-0.2631578947368421,0.0,0.2631578947368421,14.0,19.0,12.0,12.0
0.001,output_0.001.csv_aggregated.csv,neutral,26.0,0.163076923076923,0.0,0.0,0.0,54.0,54.0,47.0,47.0
0.001,output_0.001.csv_aggregated.csv,more_cited,24.0,0.108695652173913,0.8,0.0,-0.8,9.0,5.0,4.0,4.0
0.001,output_0.001.csv_aggregated.csv,more_cited,22.0,0.1904761904761904,0.1702127659574468,0.0,-0.1702127659574468,55.0,47.0,37.0,37.0
0.001,output_0.001.csv_aggregated.csv,more_cited,22.0,0.2077922077922078,-0.11320754716981132,-0.18,-0.06679245283018867,47.0,53.0,41.0,50.0
0.001,output_0.001.csv_aggregated.csv,more_cited,21.0,0.1666666666666666,0.7906976744186046,0.10714285714285714,-0.6835548172757475,77.0,43.0,31.0,28.0
0.001,output_0.001.csv_aggregated.csv,more_citing,21.0,0.2666666666666666,-0.05263157894736842,-0.013157894736842105,0.039473684210526314,90.0,95.0,75.0,76.0
0.001,output_0.001.csv_aggregated.csv,more_citing,20.0,0.2684210526315789,-0.20618556701030927,0.018518518518518517,0.22470408552882778,77.0,97.0,55.0,54.0
0.001,output_0.001.csv_aggregated.csv,more_citing,20.0,0.1842105263157894,-0.1111111111111111,0.10344827586206896,0.21455938697318006,32.0,36.0,32.0,29.0
0.001,output_0.001.csv_aggregated.csv,neutral,16.0,0.2083333333333333,0.0,0.0,0.0,10.0,10.0,8.0,8.0
0.001,output_0.001.csv_aggregated.csv,more_citing,15.0,0.2857142857142857,-0.13636363636363635,0.0967741935483871,0.23313782991202345,57.0,66.0,34.0,31.0
0.001,output_0.001.csv_aggregated.csv,neutral,15.0,0.2476190476190476,0.0,0.0,0.0,15.0,15.0,14.0,14.0
0.001,output_0.001.csv_aggregated.csv,more_citing,14.0,0.3516483516483517,-0.06666666666666667,0.12903225806451613,0.19569892473118278,42.0,45.0,35.0,31.0
0.001,output_0.001.csv_aggregated.csv,neutral,14.0,0.2087912087912088,0.0,0.0,0.0,6.0,6.0,6.0,6.0
0.001,output_0.001.csv_aggregated.csv,neutral,13.0,0.3205128205128205,0.0,0.0,0.0,19.0,19.0,15.0,15.0
0.001,output_0.001.csv_aggregated.csv,more_citing,10.0,0.2444444444444444,0.25,0.3333333333333333,0.08333333333333331,5.0,4.0,4.0,3.0
0.001,output_0.001.csv_aggregated.csv,neutral,10.0,0.3111111111111111,0.0,0.0,0.0,5.0,5.0,5.0,5.0
0.001,output_0.001.csv_aggregated.csv,neutral,10.0,0.5111111111111111,0.0,0.0,0.0,18.0,18.0,18.0,18.0
0.001,output_0.001.csv_aggregated.csv,more_citing,10.0,0.2222222222222222,0.5,1.0,0.5,3.0,2.0,2.0,1.0
0.001,output_0.001.csv_aggregated.csv,more_citing,10.0,0.3111111111111111,-0.2222222222222222,0.0,0.2222222222222222,7.0,9.0,5.0,5.0
0.001,output_0.001.csv_aggregated.csv,more_citing,10.0,0.3333333333333333,-0.2,0.0,0.2,8.0,10.0,7.0,7.0
0.001,output_0.001.csv_aggregated.csv,neutral,9.0,0.2777777777777778,0.0,0.0,0.0,3.0,3.0,2.0,2.0
0.001,output_0.001.csv_aggregated.csv,neutral,9.0,0.3611111111111111,0.0,0.0,0.0,6.0,6.0,5.0,5.0
0.001,output_0.001.csv_aggregated.csv,more_citing,9.0,0.2777777777777778,-0.6,0.0,0.6,2.0,5.0,2.0,2.0
0.001,output_0.001.csv_aggregated.csv,more_citing,9.0,0.3888888888888889,-0.2,0.0,0.2,4.0,5.0,4.0,4.0
0.001,output_0.001.csv_aggregated.csv,more_cited,9.0,0.4166666666666667,0.2727272727272727,0.0,-0.2727272727272727,14.0,11.0,9.0,9.0
0.001,output_0.001.csv_aggregated.csv,neutral,9.0,0.3055555555555556,0.0,0.0,0.0,3.0,3.0,3.0,3.0
0.001,output_0.001.csv_aggregated.csv,more_cited,8.0,0.5357142857142857,-0.058823529411764705,-0.11764705882352941,-0.058823529411764705,16.0,17.0,15.0,17.0
0.001,output_0.001.csv_aggregated.csv,neutral,8.0,0.5714285714285714,0.0,0.0,0.0,10.0,10.0,9.0,9.0
0.001,output_0.001.csv_aggregated.csv,neutral,8.0,0.25,,,,0.0,,0.0,
0.001,output_0.001.csv_aggregated.csv,more_citing,8.0,0.3214285714285714,-0.6,0.0,0.6,2.0,5.0,2.0,2.0
0.001,output_0.001.csv_aggregated.csv,more_citing,8.0,0.25,0.25,1.5,1.25,5.0,4.0,5.0,2.0
0.001,output_0.001.csv_aggregated.csv,neutral,8.0,0.25,-0.75,,,1.0,4.0,0.0,
0.001,output_0.001.csv_aggregated.csv,more_citing,7.0,0.4761904761904761,-0.4666666666666667,-0.125,0.3416666666666667,8.0,15.0,7.0,8.0
0.001,output_0.001.csv_aggregated.csv,more_citing,7.0,0.3809523809523809,0.5,1.0,0.5,9.0,6.0,6.0,3.0
0.001,output_0.001.csv_aggregated.csv,neutral,7.0,0.3809523809523809,0.0,0.0,0.0,2.0,2.0,2.0,2.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.4,,,,1.0,,0.0,
0.001,output_0.001.csv_aggregated.csv,more_cited,6.0,0.4,1.0,0.0,-1.0,4.0,2.0,1.0,1.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.3333333333333333,-1.0,-1.0,0.0,0.0,3.0,0.0,2.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.4,,,,0.0,,0.0,
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.5333333333333333,0.0,0.0,0.0,3.0,3.0,3.0,3.0
0.001,output_0.001.csv_aggregated.csv,more_citing,6.0,0.6666666666666666,-0.14285714285714285,0.0,0.14285714285714285,6.0,7.0,6.0,6.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.5333333333333333,0.0,0.0,0.0,4.0,4.0,4.0,4.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.4,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.001,output_0.001.csv_aggregated.csv,more_citing,6.0,0.4,-0.75,0.0,0.75,1.0,4.0,1.0,1.0
0.001,output_0.001.csv_aggregated.csv,neutral,6.0,0.6,0.25,0.25,0.0,5.0,4.0,5.0,4.0
0.001,output_0.001.csv_aggregated.csv,more_cited,6.0,0.4666666666666667,-0.7777777777777778,-0.8333333333333334,-0.05555555555555558,2.0,9.0,1.0,6.0
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.5,,,,0.0,,0.0,
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.6,0.0,0.0,0.0,2.0,2.0,2.0,2.0
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.4,,,,0.0,,0.0,
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
0.001,output_0.001.csv_aggregated.csv,neutral,5.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0
