,cp_level_x,cp_level_x,cp_level_x,cp_level_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_zero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x,tr_citing_x,tr_citing_x,tr_citing_x,tr_citing_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_zero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x,tr_cited_x,tr_cited_x,tr_cited_x,tr_cited_x,cp_level_y,cp_level_y,cp_level_y,cp_level_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_zero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y,tr_citing_y,tr_citing_y,tr_citing_y,tr_citing_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_zero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y,tr_cited_y,tr_cited_y,tr_cited_y,tr_cited_y,network_degree,network_degree,network_degree,network_degree,network_indegree,network_indegree,network_indegree,network_indegree,network_outdegree,network_outdegree,network_outdegree,network_outdegree,cluster_degree,cluster_degree,cluster_degree,cluster_degree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_indegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,cluster_outdegree,node_count,edge_count
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,,
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11.825233644859813,12653,0,180,3.163551401869159,3385,0,44,8.661682242990654,9268,0,157,34.1392523364486,36529,0,1390,3.270093457943925,3499,0,169,8.555140186915889,9154,0,143,34.30747663551402,36709,0,601,6.683794466403162,6764.0,0.0,97.0,1.6235177865612649,1643.0,0.0,11.0,5.060276679841897,5121.0,0.0,94.0,21.150197628458496,21404.0,0.0,1038.0,1.4061264822134387,1423.0,0.0,97.0,5.277667984189724,5341.0,0.0,77.0,21.311264822134387,21567.0,0.0,408.0,24.09065420560748,25777,2,281,11.825233644859813,12653,0,180,12.265420560747664,13124,0,276,8.987903225806452,8916.0,1.0,54.0,4.44758064516129,4412.0,0.0,54.0,4.540322580645161,4504.0,0.0,36.0,,4458.0
9,10.767790262172285,11500,0,248,3.7537453183520597,4009,0,31,7.014044943820225,7491,0,225,22.129213483146067,23634,0,1480,4.086142322097379,4364,0,136,6.681647940074907,7136,0,113,22.771535580524343,24320,0,477,5.0160680529300565,5307.0,0.0,96.0,1.555765595463138,1646.0,0.0,13.0,3.4603024574669186,3661.0,0.0,94.0,12.035916824196597,12734.0,0.0,790.0,1.5935727788279772,1686.0,0.0,46.0,3.4224952741020793,3621.0,0.0,67.0,12.0,12696.0,0.0,227.0,22.303370786516854,23820,1,266,10.767790262172285,11500,0,248,11.535580524344569,12320,0,192,6.837811900191938,7125.0,1.0,42.0,3.4145873320537428,3558.0,0.0,42.0,3.423224568138196,3567.0,0.0,26.0,,3562.5
10,13.544131910766247,13964,0,557,3.3676042677012608,3472,0,44,10.176527643064986,10492,0,513,49.33171677982541,50861,0,4697,3.4354995150339476,3542,0,407,10.108632395732299,10422,0,202,51.4015518913676,52995,0,830,8.214285714285714,8165.0,0.0,180.0,1.6468812877263581,1637.0,0.0,11.0,6.5674044265593565,6528.0,0.0,178.0,35.814889336016094,35600.0,0.0,2209.0,1.676056338028169,1666.0,0.0,86.0,6.538229376257545,6499.0,0.0,144.0,35.93259557344064,35717.0,0.0,681.0,27.322987390882638,28170,2,568,13.544131910766247,13964,0,557,13.778855480116391,14206,0,141,10.042988741044013,9812.0,1.0,74.0,4.981576253838281,4867.0,0.0,73.0,5.061412487205732,4945.0,0.0,48.0,,4906.0
11,9.708661417322835,9864,0,179,3.3553149606299213,3409,0,51,6.353346456692913,6455,0,135,19.77952755905512,20096,0,827,3.5718503937007875,3629,0,100,6.136811023622047,6235,0,116,19.844488188976378,20162,0,435,4.839080459770115,4631.0,0.0,71.0,1.444096133751306,1382.0,0.0,7.0,3.394984326018809,3249.0,0.0,65.0,11.218390804597702,10736.0,0.0,471.0,1.4085684430512018,1348.0,0.0,50.0,3.430512016718913,3283.0,0.0,67.0,11.225705329153605,10743.0,0.0,325.0,19.176181102362204,19483,1,201,9.708661417322835,9864,0,179,9.46751968503937,9619,0,116,6.551282051282051,6132.0,1.0,32.0,3.263888888888889,3055.0,0.0,27.0,3.2873931623931623,3077.0,0.0,23.0,,3066.0
12,9.693581780538302,9364,0,110,3.4026915113871636,3287,0,32,6.290890269151139,6077,0,88,21.282608695652176,20559,0,437,4.023809523809524,3887,0,110,5.669772256728779,5477,0,84,20.990683229813666,20277,0,387,5.08008658008658,4694.0,0.0,47.0,1.45995670995671,1349.0,0.0,11.0,3.6201298701298703,3345.0,0.0,43.0,14.087662337662337,13017.0,0.0,418.0,1.7196969696969697,1589.0,0.0,41.0,3.3603896103896105,3105.0,0.0,40.0,13.884199134199134,12829.0,0.0,264.0,18.950310559006212,18306,1,127,9.693581780538302,9364,0,110,9.25672877846791,8942,0,97,7.505605381165919,6695.0,1.0,42.0,3.8038116591928253,3393.0,0.0,40.0,3.701793721973094,3302.0,0.0,38.0,,3347.5
13,10.635135135135135,10231,0,314,3.076923076923077,2960,0,49,7.558212058212058,7271,0,299,32.601871101871104,31363,0,2706,3.001039501039501,2887,0,206,7.634095634095634,7344,0,297,34.143451143451145,32846,0,1182,5.919337016574586,5357.0,0.0,161.0,1.5149171270718231,1371.0,0.0,14.0,4.404419889502763,3986.0,0.0,155.0,21.920441988950277,19838.0,0.0,1719.0,1.4607734806629835,1322.0,0.0,124.0,4.458563535911602,4035.0,0.0,159.0,22.049723756906076,19955.0,0.0,657.0,21.873180873180875,21042,1,319,10.635135135135135,10231,0,314,11.238045738045738,10811,0,110,7.511363636363637,6610.0,1.0,69.0,3.7522727272727274,3302.0,0.0,65.0,3.7590909090909093,3308.0,0.0,36.0,,3305.0
14,11.531003382187148,10228,0,273,3.7553551296505074,3331,0,45,7.77564825253664,6897,0,228,26.715896279594137,23697,0,1386,4.595264937993235,4076,0,238,6.9357384441939125,6152,0,111,23.50620067643743,20850,0,447,5.122497055359246,4349.0,0.0,61.0,1.4452296819787986,1227.0,0.0,12.0,3.6772673733804475,3122.0,0.0,57.0,12.868080094228505,10925.0,0.0,424.0,1.619552414605418,1375.0,0.0,44.0,3.502944640753828,2974.0,0.0,44.0,12.220259128386337,10375.0,0.0,216.0,21.950394588500565,19470,1,279,11.531003382187148,10228,0,273,10.419391206313415,9242,0,184,7.695180722891566,6387.0,1.0,43.0,3.8795180722891565,3220.0,0.0,37.0,3.81566265060241,3167.0,0.0,24.0,,3193.5
15,10.506960556844547,9057,0,287,2.7563805104408354,2376,0,66,7.750580046403712,6681,0,267,44.70185614849188,38533,0,3497,2.9292343387471,2525,0,243,7.577726218097448,6532,0,191,44.301624129930396,38188,0,1116,7.084249084249084,5802.0,0.0,172.0,1.4322344322344323,1173.0,0.0,9.0,5.652014652014652,4629.0,0.0,171.0,39.21001221001221,32113.0,0.0,2909.0,1.42002442002442,1163.0,0.0,172.0,5.6642246642246645,4639.0,0.0,139.0,39.105006105006105,32027.0,0.0,990.0,21.005800464037122,18107,1,327,10.506960556844547,9057,0,287,10.498839907192576,9050,0,84,9.933080808080808,7867.0,1.0,89.0,4.929292929292929,3904.0,0.0,89.0,5.003787878787879,3963.0,0.0,51.0,,3933.5
16,7.0055632823365785,5037,0,161,3.036161335187761,2183,0,31,3.969401947148818,2854,0,134,10.261474269819193,7378,0,569,2.890125173852573,2078,0,93,4.115438108484006,2959,0,68,10.426981919332405,7497,0,172,3.8062593144560357,2554.0,0.0,77.0,1.4605067064083457,980.0,0.0,10.0,2.34575260804769,1574.0,0.0,69.0,6.4172876304023845,4306.0,0.0,310.0,1.3561847988077496,910.0,0.0,37.0,2.450074515648286,1644.0,0.0,45.0,6.459016393442623,4334.0,0.0,122.0,14.201668984700973,10211,1,162,7.0055632823365785,5037,0,161,7.196105702364395,5174,0,50,4.953313253012048,3289.0,1.0,26.0,2.4759036144578315,1644.0,0.0,23.0,2.477409638554217,1645.0,0.0,22.0,,1644.5
17,6.093502377179081,3845,0,73,2.7448494453248813,1732,0,27,3.3486529318541995,2113,0,58,7.334389857369255,4628,0,187,2.868462757527734,1810,0,73,3.225039619651347,2035,0,59,7.5150554675118855,4742,0,199,3.276666666666667,1966.0,0.0,31.0,1.3366666666666667,802.0,0.0,8.0,1.94,1164.0,0.0,26.0,4.343333333333334,2606.0,0.0,121.0,1.3633333333333333,818.0,0.0,31.0,1.9133333333333333,1148.0,0.0,28.0,4.36,2616.0,0.0,96.0,12.286846275752774,7753,1,101,6.093502377179081,3845,0,73,6.193343898573692,3908,0,55,4.809605488850772,2804.0,1.0,24.0,2.4271012006861064,1415.0,0.0,21.0,2.3825042881646654,1389.0,0.0,17.0,,1402.0
