cluster_id,intercluster_edges,cp_level_x,cp_level_x.1,cp_level_x.2,cp_level_x.3,cp_r_citing_zero_x,cp_r_citing_zero_x.1,cp_r_citing_zero_x.2,cp_r_citing_zero_x.3,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x.1,cp_r_citing_nonzero_x.2,cp_r_citing_nonzero_x.3,tr_citing_x,tr_citing_x.1,tr_citing_x.2,tr_citing_x.3,cp_r_cited_zero_x,cp_r_cited_zero_x.1,cp_r_cited_zero_x.2,cp_r_cited_zero_x.3,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x.1,cp_r_cited_nonzero_x.2,cp_r_cited_nonzero_x.3,tr_cited_x,tr_cited_x.1,tr_cited_x.2,tr_cited_x.3,cp_level_y,cp_level_y.1,cp_level_y.2,cp_level_y.3,cp_r_citing_zero_y,cp_r_citing_zero_y.1,cp_r_citing_zero_y.2,cp_r_citing_zero_y.3,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y.1,cp_r_citing_nonzero_y.2,cp_r_citing_nonzero_y.3,tr_citing_y,tr_citing_y.1,tr_citing_y.2,tr_citing_y.3,cp_r_cited_zero_y,cp_r_cited_zero_y.1,cp_r_cited_zero_y.2,cp_r_cited_zero_y.3,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y.1,cp_r_cited_nonzero_y.2,cp_r_cited_nonzero_y.3,tr_cited_y,tr_cited_y.1,tr_cited_y.2,tr_cited_y.3,network_degree,network_degree.1,network_degree.2,network_degree.3,network_indegree,network_indegree.1,network_indegree.2,network_indegree.3,network_outdegree,network_outdegree.1,network_outdegree.2,network_outdegree.3,cluster_degree,cluster_degree.1,cluster_degree.2,cluster_degree.3,cluster_indegree,cluster_indegree.1,cluster_indegree.2,cluster_indegree.3,cluster_outdegree,cluster_outdegree.1,cluster_outdegree.2,cluster_outdegree.3,node_count,edge_count,edge_density
11,4395,9.708661417322835,9864,0,179,3.3553149606299213,3409,0,51,6.353346456692913,6455,0,135,19.77952755905512,20096,0,827,3.5718503937007875,3629,0,100,6.136811023622047,6235,0,116,19.844488188976378,20162,0,435,4.839080459770115,4631.0,0.0,71.0,1.444096133751306,1382.0,0.0,7.0,3.394984326018809,3249.0,0.0,65.0,11.218390804597702,10736.0,0.0,471.0,1.4085684430512018,1348.0,0.0,50.0,3.430512016718913,3283.0,0.0,67.0,11.225705329153605,10743.0,0.0,325.0,19.176181102362204,19483,1,201,9.708661417322835,9864,0,179,9.46751968503937,9619,0,116,6.551282051282051,6132.0,1.0,32.0,3.263888888888889,3055.0,0.0,27.0,3.2873931623931623,3077.0,0.0,23.0,1015.0,7533.0,0.014638411985892
16,2265,7.0055632823365785,5037,0,161,3.036161335187761,2183,0,31,3.969401947148818,2854,0,134,10.261474269819193,7378,0,569,2.890125173852573,2078,0,93,4.115438108484006,2959,0,68,10.426981919332405,7497,0,172,3.8062593144560357,2554.0,0.0,77.0,1.4605067064083457,980.0,0.0,10.0,2.34575260804769,1574.0,0.0,69.0,6.4172876304023845,4306.0,0.0,310.0,1.3561847988077496,910.0,0.0,37.0,2.450074515648286,1644.0,0.0,45.0,6.459016393442623,4334.0,0.0,122.0,14.201668984700973,10211,1,162,7.0055632823365785,5037,0,161,7.196105702364395,5174,0,50,4.953313253012048,3289.0,1.0,26.0,2.4759036144578315,1644.0,0.0,23.0,2.477409638554217,1645.0,0.0,22.0,719.0,3973.0,0.0153920060746704
1,15500,17.428528072837633,57427,0,550,4.376934749620637,14422,0,98,13.051593323216995,43005,0,488,59.074355083459785,194650,0,3660,5.249468892261001,17297,0,338,12.179059180576632,40130,0,337,58.846737481031866,193900,0,1533,7.674976628233094,24629.0,0.0,152.0,1.7531941414770957,5626.0,0.0,17.0,5.9217824867559985,19003.0,0.0,141.0,29.40729199127454,94368.0,0.0,1804.0,1.930196322842007,6194.0,0.0,152.0,5.744780305391088,18435.0,0.0,112.0,29.3652228108445,94233.0,0.0,790.0,34.747192716236725,114492,4,635,17.428528072837633,57427,0,550,17.31866464339909,57065,0,411,9.674418604651162,30784.0,1.0,66.0,4.828409805153991,15364.0,0.0,60.0,4.846008799497172,15420.0,0.0,51.0,3295.0,49496.0,0.0091205511837865
109,6,1.75,7,0,4,1.5,6,0,3,0.25,1,0,1,0.25,1,0,1,1.75,7,0,4,0.0,0,0,0,0.0,0,0,0,0.75,3.0,0.0,1.0,0.75,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12,2,4,1.75,7,0,4,1.25,5,0,3,1.5,6.0,1.0,2.0,0.75,3.0,0.0,1.0,0.75,3.0,0.0,2.0,4.0,3.0,0.5
3,13459,14.726041144004014,29349,0,542,4.085298544907175,8142,0,114,10.64074259909684,21207,0,428,42.59056698444556,84883,0,1863,4.925238334169594,9816,0,356,9.80080280983442,19533,0,225,41.75865529352735,83225,0,1045,6.5947643979057595,12596.0,0.0,91.0,1.5486910994764398,2958.0,0.0,15.0,5.046073298429319,9638.0,0.0,87.0,23.24973821989529,44407.0,0.0,874.0,1.6602094240837697,3171.0,0.0,79.0,4.93455497382199,9425.0,0.0,86.0,23.41256544502618,44718.0,0.0,558.0,28.27245358755645,56347,2,559,14.726041144004014,29349,0,542,13.546412443552434,26998,0,282,9.539163090128755,17781.0,1.0,60.0,4.746244635193133,8847.0,0.0,53.0,4.792918454935623,8934.0,0.0,42.0,1993.0,21444.0,0.0108028702869682
1207,1,1.0,1,1,1,1.0,1,1,1,0.0,0,0,0,0.0,0,0,0,1.0,1,1,1,0.0,0,0,0,0.0,0,0,0,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,1.0,1,1,1,1.0,1,1,1,0.0,0,0,0,,0.0,,,,0.0,,,,0.0,,,1.0,0.0,0.0
2,14869,17.887,53661,0,399,4.450333333333333,13351,0,50,13.436666666666667,40310,0,349,59.031,177093,0,2412,5.106,15318,0,237,12.781,38343,0,178,59.64,178920,0,1134,8.339835728952773,24369.0,0.0,123.0,1.7053388090349075,4983.0,0.0,11.0,6.634496919917864,19386.0,0.0,120.0,32.441820670773446,94795.0,0.0,1538.0,2.0171115674195756,5894.0,0.0,90.0,6.322724161533197,18475.0,0.0,93.0,32.383641341546884,94625.0,0.0,892.0,36.001666666666665,108005,3,423,17.887,53661,0,399,18.11466666666667,54344,0,254,10.677642980935875,30805.0,1.0,62.0,5.327209705372617,15369.0,0.0,57.0,5.350433275563258,15436.0,0.0,45.0,3000.0,46568.0,0.0103518950761364
0,26884,19.474694104560623,70031,0,444,5.131813125695217,18454,0,74,14.342880978865406,51577,0,429,62.11512791991101,223366,0,4445,6.409343715239155,23048,0,405,13.065350389321468,46983,0,408,61.774193548387096,222140,0,1423,7.699034639409427,27116.0,0.0,145.0,1.7773992049971608,6260.0,0.0,20.0,5.9216354344122655,20856.0,0.0,143.0,29.357751277683136,103398.0,0.0,2071.0,1.9355479840999432,6817.0,0.0,136.0,5.7634866553094835,20299.0,0.0,139.0,29.369960249858035,103441.0,0.0,629.0,38.69410456062291,139144,4,456,19.474694104560623,70031,0,444,19.219410456062292,69113,0,322,10.4900947459087,36537.0,1.0,66.0,5.266724088429515,18344.0,0.0,66.0,5.223370657479185,18193.0,0.0,45.0,3596.0,56130.0,0.0086837329686361
6,5416,11.758720930232558,16180,0,315,3.40625,4687,0,72,8.352470930232558,11493,0,243,35.667151162790695,49078,0,1494,3.921511627906977,5396,0,217,7.837209302325581,10784,0,199,35.723837209302324,49156,0,1186,6.440998487140696,8515.0,0.0,79.0,1.5537065052950076,2054.0,0.0,10.0,4.887291981845689,6461.0,0.0,78.0,24.550680786686836,32456.0,0.0,807.0,1.7972768532526475,2376.0,0.0,76.0,4.643721633888048,6139.0,0.0,75.0,24.5,32389.0,0.0,793.0,23.232558139534884,31968,2,381,11.758720930232558,16180,0,315,11.473837209302326,15788,0,128,8.534937888198758,10993.0,1.0,68.0,4.286490683229814,5521.0,0.0,53.0,4.248447204968944,5472.0,0.0,54.0,1376.0,13276.0,0.0140338266384778
155,9,1.0,3,0,2,1.0,3,0,2,0.0,0,0,0,0.0,0,0,0,1.0,3,0,2,0.0,0,0,0,0.0,0,0,0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,13,2,6,1.0,3,0,2,3.3333333333333335,10,0,6,1.3333333333333333,4.0,1.0,2.0,0.6666666666666666,2.0,0.0,1.0,0.6666666666666666,2.0,0.0,2.0,3.0,2.0,0.6666666666666666
