cluster_id,cp_level_x,cp_level_x.1,cp_level_x.2,cp_level_x.3,cp_r_citing_zero_x,cp_r_citing_zero_x.1,cp_r_citing_zero_x.2,cp_r_citing_zero_x.3,cp_r_citing_nonzero_x,cp_r_citing_nonzero_x.1,cp_r_citing_nonzero_x.2,cp_r_citing_nonzero_x.3,tr_citing_x,tr_citing_x.1,tr_citing_x.2,tr_citing_x.3,cp_r_cited_zero_x,cp_r_cited_zero_x.1,cp_r_cited_zero_x.2,cp_r_cited_zero_x.3,cp_r_cited_nonzero_x,cp_r_cited_nonzero_x.1,cp_r_cited_nonzero_x.2,cp_r_cited_nonzero_x.3,tr_cited_x,tr_cited_x.1,tr_cited_x.2,tr_cited_x.3,cp_level_y,cp_level_y.1,cp_level_y.2,cp_level_y.3,cp_r_citing_zero_y,cp_r_citing_zero_y.1,cp_r_citing_zero_y.2,cp_r_citing_zero_y.3,cp_r_citing_nonzero_y,cp_r_citing_nonzero_y.1,cp_r_citing_nonzero_y.2,cp_r_citing_nonzero_y.3,tr_citing_y,tr_citing_y.1,tr_citing_y.2,tr_citing_y.3,cp_r_cited_zero_y,cp_r_cited_zero_y.1,cp_r_cited_zero_y.2,cp_r_cited_zero_y.3,cp_r_cited_nonzero_y,cp_r_cited_nonzero_y.1,cp_r_cited_nonzero_y.2,cp_r_cited_nonzero_y.3,tr_cited_y,tr_cited_y.1,tr_cited_y.2,tr_cited_y.3,network_degree,network_degree.1,network_degree.2,network_degree.3,network_indegree,network_indegree.1,network_indegree.2,network_indegree.3,network_outdegree,network_outdegree.1,network_outdegree.2,network_outdegree.3,cluster_degree,cluster_degree.1,cluster_degree.2,cluster_degree.3,cluster_indegree,cluster_indegree.1,cluster_indegree.2,cluster_indegree.3,cluster_outdegree,cluster_outdegree.1,cluster_outdegree.2,cluster_outdegree.3,node_count,edge_count,edge_density
,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,,,0.0
Cluster_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8,16.668763102725368,7951,0,206,4.062893081761007,1938,0,37,12.60587002096436,6013,0,184,52.84276729559748,25206,0,1267,4.928721174004193,2351,0,115,11.740041928721174,5600,0,154,51.920335429769395,24766,0,1045,7.726872246696035,3508.0,0.0,91.0,1.6123348017621146,732.0,0.0,7.0,6.11453744493392,2776.0,0.0,87.0,29.151982378854626,13235.0,0.0,809.0,1.9955947136563876,906.0,0.0,79.0,5.7312775330396475,2602.0,0.0,86.0,28.40748898678414,12897.0,0.0,486.0,32.327044025157235,15420,3,290,16.668763102725368,7951,0,206,15.658280922431866,7469,0,135,10.549107142857142,4726.0,1.0,52.0,5.381696428571429,2411.0,0.0,49.0,5.167410714285714,2315.0,0.0,32.0,477.0,5196.0,0.04576925109666508
9,18.467091295116774,8698,0,314,4.112526539278131,1937,0,31,14.354564755838641,6761,0,299,67.90021231422506,31981,0,2706,4.1571125265392785,1958,0,234,14.309978768577494,6740,0,297,67.27176220806794,31685,0,1182,9.821978021978023,4469.0,0.0,161.0,1.8747252747252747,853.0,0.0,14.0,7.947252747252747,3616.0,0.0,155.0,42.79560439560439,19472.0,0.0,1719.0,1.6945054945054945,771.0,0.0,124.0,8.127472527472527,3698.0,0.0,159.0,42.496703296703295,19336.0,0.0,657.0,37.02547770700637,17439,5,319,18.467091295116774,8698,0,314,18.558386411889597,8741,0,179,11.3630289532294,5102.0,1.0,69.0,5.643652561247216,2534.0,0.0,65.0,5.719376391982182,2568.0,0.0,39.0,471.0,6334.0,0.05722545963771062
10,22.949891067538125,10534,0,340,6.788671023965142,3116,0,67,16.161220043572985,7418,0,273,57.407407407407405,26350,0,1498,10.187363834422658,4676,0,296,12.762527233115469,5858,0,146,45.88235294117647,21060,0,1015,6.10352422907489,2771.0,0.0,64.0,1.975770925110132,897.0,0.0,16.0,4.127753303964758,1874.0,0.0,58.0,13.112334801762115,5953.0,0.0,294.0,2.458149779735683,1116.0,0.0,64.0,3.645374449339207,1655.0,0.0,40.0,11.977973568281937,5438.0,0.0,140.0,41.00871459694989,18823,4,415,22.949891067538125,10534,0,340,18.058823529411764,8289,0,322,7.771812080536913,3474.0,1.0,32.0,4.138702460850112,1850.0,0.0,28.0,3.6331096196868007,1624.0,0.0,20.0,459.0,4575.0,0.04352541598881183
11,22.134146341463413,9075,0,343,4.675609756097561,1917,0,79,17.458536585365852,7158,0,279,97.29268292682927,39890,0,3322,6.341463414634147,2600,0,343,15.792682926829269,6475,0,166,94.63414634146342,38800,0,1057,12.40253164556962,4899.0,0.0,163.0,1.8759493670886076,741.0,0.0,8.0,10.526582278481012,4158.0,0.0,160.0,73.07848101265823,28866.0,0.0,2598.0,2.7569620253164557,1089.0,0.0,163.0,9.645569620253164,3810.0,0.0,124.0,71.51645569620253,28249.0,0.0,960.0,43.21951219512195,17720,2,343,22.134146341463413,9075,0,343,21.085365853658537,8645,0,137,16.392207792207792,6311.0,1.0,89.0,8.17142857142857,3146.0,0.0,89.0,8.220779220779221,3165.0,0.0,53.0,410.0,6272.0,0.07480469914723598
12,20.420398009950247,8209,0,195,4.395522388059701,1767,0,33,16.024875621890548,6442,0,162,78.87064676616916,31706,0,1602,4.8059701492537314,1932,0,153,15.614427860696518,6277,0,149,83.96766169154229,33755,0,781,10.371794871794872,4045.0,0.0,104.0,1.8794871794871795,733.0,0.0,9.0,8.492307692307692,3312.0,0.0,101.0,47.11538461538461,18375.0,0.0,1242.0,2.212820512820513,863.0,0.0,90.0,8.158974358974358,3182.0,0.0,90.0,47.15128205128205,18389.0,0.0,563.0,44.791044776119406,18006,4,240,20.420398009950247,8209,0,195,24.370646766169155,9797,0,172,12.965789473684211,4927.0,1.0,51.0,6.321052631578947,2402.0,0.0,48.0,6.644736842105263,2525.0,0.0,45.0,402.0,5807.0,0.07204625252788427
13,14.345088161209068,5695,0,179,4.408060453400504,1750,0,44,9.937027707808564,3945,0,135,34.45340050377834,13678,0,827,4.710327455919395,1870,0,100,9.634760705289672,3825,0,116,32.91183879093199,13066,0,435,7.010335917312662,2713.0,0.0,71.0,1.801033591731266,697.0,0.0,7.0,5.209302325581396,2016.0,0.0,65.0,19.136950904392766,7406.0,0.0,471.0,1.7209302325581395,666.0,0.0,50.0,5.289405684754522,2047.0,0.0,67.0,18.899224806201552,7314.0,0.0,325.0,27.581863979848865,10950,4,201,14.345088161209068,5695,0,179,13.2367758186398,5255,0,116,8.353562005277045,3166.0,1.0,32.0,4.237467018469657,1606.0,0.0,25.0,4.116094986807388,1560.0,0.0,23.0,397.0,3927.0,0.049958018471872374
14,16.74168797953964,6546,0,293,5.176470588235294,2024,0,57,11.565217391304348,4522,0,257,38.58056265984655,15085,0,1391,6.508951406649617,2545,0,201,10.232736572890026,4001,0,132,35.79795396419437,13997,0,467,6.148148148148148,2324.0,0.0,81.0,1.7513227513227514,662.0,0.0,13.0,4.396825396825397,1662.0,0.0,75.0,15.80952380952381,5976.0,0.0,501.0,1.8253968253968254,690.0,0.0,41.0,4.322751322751323,1634.0,0.0,55.0,16.16931216931217,6112.0,0.0,254.0,30.782608695652176,12036,4,302,16.74168797953964,6546,0,293,14.040920716112533,5490,0,133,6.927807486631016,2591.0,1.0,39.0,3.5427807486631018,1325.0,0.0,37.0,3.3850267379679146,1266.0,0.0,23.0,391.0,3672.0,0.048160535117056855
15,19.774193548387096,7356,0,315,4.913978494623656,1828,0,72,14.86021505376344,5528,0,243,77.72849462365592,28915,0,1494,5.685483870967742,2115,0,217,14.088709677419354,5241,0,199,75.90053763440861,28235,0,1186,10.353760445682452,3717.0,0.0,79.0,1.935933147632312,695.0,0.0,10.0,8.41782729805014,3022.0,0.0,78.0,54.760445682451255,19659.0,0.0,807.0,2.233983286908078,802.0,0.0,76.0,8.119777158774374,2915.0,0.0,75.0,54.6991643454039,19637.0,0.0,793.0,37.30913978494624,13879,4,381,19.774193548387096,7356,0,315,17.53494623655914,6523,0,128,12.125698324022347,4341.0,1.0,68.0,6.050279329608938,2166.0,0.0,53.0,6.075418994413408,2175.0,0.0,54.0,372.0,4952.0,0.07176187577891778
16,18.11413043478261,6666,0,297,5.084239130434782,1871,0,88,13.029891304347826,4795,0,275,50.69836956521739,18657,0,1895,6.423913043478261,2364,0,185,11.690217391304348,4302,0,213,47.22282608695652,17378,0,591,8.11111111111111,2920.0,0.0,98.0,1.9444444444444444,700.0,0.0,14.0,6.166666666666667,2220.0,0.0,94.0,26.36111111111111,9490.0,0.0,855.0,2.022222222222222,728.0,0.0,48.0,6.088888888888889,2192.0,0.0,85.0,26.11111111111111,9400.0,0.0,383.0,34.10597826086956,12551,4,309,18.11413043478261,6666,0,297,15.991847826086957,5885,0,242,9.713091922005571,3487.0,1.0,48.0,4.9805013927576605,1788.0,0.0,40.0,4.7325905292479105,1699.0,0.0,27.0,368.0,4070.0,0.060271294870276035
17,16.760233918128655,5732,0,557,3.865497076023392,1322,0,44,12.894736842105264,4410,0,513,66.04970760233918,22589,0,4697,3.807017543859649,1302,0,407,12.953216374269006,4430,0,202,62.67251461988304,21434,0,830,10.772727272727273,3555.0,0.0,180.0,1.996969696969697,659.0,0.0,11.0,8.775757575757575,2896.0,0.0,178.0,49.54848484848485,16351.0,0.0,2209.0,1.5606060606060606,515.0,0.0,86.0,9.212121212121213,3040.0,0.0,144.0,49.906060606060606,16469.0,0.0,681.0,33.14035087719298,11334,4,568,16.760233918128655,5732,0,557,16.380116959064328,5602,0,97,11.282674772036474,3712.0,1.0,74.0,5.5592705167173255,1829.0,0.0,73.0,5.723404255319149,1883.0,0.0,41.0,342.0,4470.0,0.07665792046097648
