cluster_id,nodes_in_cluster,intra_cluster_edges
0,251,5029
1,234,5057
2,231,3953
3,222,4186
4,207,3911
5,204,3261
6,196,3138
7,195,3886
8,187,3279
9,177,2939
10,171,2506
11,169,2565
12,168,2646
13,168,2817
14,165,2461
15,160,1784
16,160,2531
17,159,2720
18,158,2363
19,156,2543
20,144,1561
21,141,1980
22,140,1601
23,137,1775
24,135,1707
25,130,1611
26,129,1820
27,128,1572
28,124,1334
29,120,1713
30,119,1126
31,119,2055
32,117,1225
33,116,1256
34,114,1102
35,114,1216
36,111,888
37,106,1085
38,106,1145
39,104,1102
40,99,892
41,97,799
42,97,1241
43,94,1002
44,93,942
45,93,794
46,92,1179
47,91,933
48,89,680
49,89,663
50,89,1016
51,87,730
52,84,812
53,83,791
54,83,805
55,83,656
56,83,691
57,82,677
58,81,624
59,80,662
60,80,624
61,80,694
62,80,932
63,80,740
64,79,704
65,79,709
66,79,583
67,78,626
68,78,574
69,77,524
70,76,577
71,75,515
72,73,505
73,73,569
74,72,487
75,72,539
76,71,572
77,70,466
78,70,490
79,70,520
80,69,473
81,69,453
82,69,666
83,69,560
84,68,437
85,67,406
86,67,447
87,67,464
88,67,385
89,66,436
90,65,522
91,65,514
92,65,430
93,64,504
94,64,405
95,64,405
96,64,607
97,64,760
98,64,579
99,63,423
100,63,385
101,63,411
102,63,444
103,62,433
104,61,361
105,61,323
106,60,330
107,60,334
108,60,378
109,60,341
110,60,327
111,60,427
112,60,508
113,59,369
114,59,388
115,59,334
116,58,407
117,58,366
118,57,305
119,57,279
120,57,406
121,57,410
122,57,376
123,56,320
124,56,415
125,56,358
126,55,305
127,55,360
128,55,311
129,55,362
130,55,305
131,55,399
132,55,319
133,54,350
134,53,298
135,53,327
136,53,311
137,53,400
138,52,264
139,52,292
140,52,292
141,52,337
142,52,374
143,51,344
144,51,233
145,50,266
146,50,235
147,49,233
148,49,254
149,49,301
150,49,255
151,48,313
152,48,315
153,48,310
154,48,257
155,48,348
156,47,216
157,47,255
158,47,248
159,47,247
160,47,326
161,47,353
162,45,217
163,45,187
164,45,264
165,44,240
166,44,248
167,43,200
168,43,239
169,43,205
170,43,180
171,43,186
172,42,208
173,42,183
174,42,171
175,42,248
176,41,199
177,41,294
178,41,209
179,41,183
180,41,239
181,41,288
182,41,202
183,40,158
184,40,180
185,40,184
186,40,153
187,40,182
188,40,181
189,40,154
190,40,169
191,39,201
192,39,189
193,39,176
194,39,199
195,39,237
196,39,204
197,39,203
198,39,178
199,39,269
200,38,183
201,38,164
202,38,166
203,38,216
204,37,148
205,37,154
206,37,162
207,37,142
208,37,151
209,37,175
210,37,180
211,37,136
212,37,180
213,37,223
214,37,229
215,36,126
216,36,138
217,36,196
218,36,118
219,36,153
220,36,176
221,36,135
222,36,125
223,36,108
224,36,190
225,36,149
226,36,178
227,35,141
228,35,138
229,35,185
230,35,126
231,35,164
232,35,134
233,35,180
234,35,179
235,35,236
236,34,129
237,34,146
238,34,127
239,34,145
240,34,125
241,34,137
242,33,116
243,33,126
244,33,186
245,33,113
246,33,120
247,33,146
248,33,184
249,32,123
250,32,111
251,32,113
252,32,178
253,32,116
254,31,109
255,31,170
256,31,122
257,30,129
258,29,125
259,30,145
260,30,117
261,30,156
262,29,76
263,29,119
264,29,102
265,29,91
266,29,121
267,29,123
268,29,122
269,29,124
