cluster_id,nodes_in_cluster,intra_cluster_edges
0,881,14358
1,778,13031
2,627,11128
3,602,9526
4,561,7644
5,518,7028
6,505,7050
7,482,6474
8,477,5196
9,471,6334
10,459,4575
11,410,6272
12,402,5807
13,397,3927
14,391,3672
15,372,4952
16,368,4070
17,342,4470
18,340,3962
19,338,4449
20,328,4952
21,326,3855
22,301,2842
23,298,4186
24,286,3829
25,286,2341
26,281,2454
27,281,2669
28,259,2584
29,259,1929
30,257,2415
31,247,1688
32,247,3453
33,244,2104
34,243,2913
35,213,1383
36,208,2460
37,200,1962
38,195,1575
39,186,1298
40,184,1433
41,183,1110
42,179,1265
43,179,1398
44,178,1108
45,171,1272
46,170,1711
47,165,1010
48,165,1129
49,164,1284
50,160,1181
51,156,797
52,150,805
53,147,1292
54,142,848
55,138,1217
56,134,1063
57,133,749
58,131,651
59,130,673
60,130,888
61,129,831
62,128,805
63,127,678
64,126,555
65,125,700
66,125,731
67,123,943
68,122,882
69,120,857
70,120,1082
71,119,853
72,118,395
73,117,1073
74,116,524
75,116,637
76,109,567
77,108,429
78,108,503
79,107,370
80,105,557
81,104,602
82,104,693
83,103,590
84,103,480
85,102,444
86,102,534
87,102,560
88,101,434
89,101,551
90,101,489
91,100,351
92,100,534
93,100,389
94,100,584
95,100,549
96,100,394
97,100,393
98,99,376
99,97,382
100,93,426
101,93,334
102,93,473
103,92,348
104,88,361
105,86,298
106,86,301
107,84,384
108,84,408
109,84,828
110,83,280
111,81,212
112,81,317
113,81,388
114,81,369
115,80,318
116,79,335
117,78,356
118,75,322
119,75,426
120,72,268
121,70,227
122,70,261
123,68,248
124,67,387
125,64,229
126,63,170
127,62,307
128,62,195
129,62,218
130,62,322
131,61,279
132,60,143
133,60,173
134,58,212
135,58,233
136,57,267
137,55,234
138,54,118
139,54,141
140,53,160
141,53,125
142,52,203
143,51,182
144,50,147
145,50,152
146,50,215
147,49,149
148,48,100
149,48,112
150,48,152
151,47,223
152,46,141
153,46,102
154,46,166
155,45,114
156,45,116
157,45,135
158,45,245
159,44,74
160,44,98
161,44,190
162,43,106
163,43,114
164,43,172
165,43,277
166,42,115
167,42,130
168,42,99
169,42,120
170,41,100
171,41,105
172,41,118
173,41,86
174,41,100
175,41,121
176,40,181
177,39,134
178,38,96
179,38,66
180,38,97
181,38,142
182,38,172
183,37,81
184,37,82
185,37,81
186,37,86
187,37,104
188,37,96
189,36,73
190,36,72
191,36,126
192,36,112
193,36,192
194,35,87
195,35,79
196,35,55
197,35,91
198,35,70
199,35,54
200,35,106
201,35,174
202,34,75
203,34,67
204,34,85
205,33,65
206,33,73
207,33,44
208,33,65
209,33,125
210,32,61
211,32,57
212,32,68
213,32,57
214,32,54
215,32,92
216,32,65
217,31,73
218,31,76
219,31,91
220,30,51
221,29,56
222,29,90
223,29,48
224,29,50
225,29,45
226,29,58
227,29,94
228,28,82
229,28,51
230,28,45
231,28,45
232,28,44
233,28,51
234,28,76
235,28,57
236,28,54
237,27,55
238,27,41
239,27,60
240,27,63
241,27,36
242,27,53
243,27,49
244,27,86
245,26,46
246,26,47
247,26,40
248,25,43
249,25,37
250,25,42
251,25,46
252,25,48
253,25,42
254,25,51
255,25,59
256,25,74
257,25,47
258,25,84
259,25,36
260,25,81
261,24,43
262,24,65
263,24,31
264,24,48
265,23,45
266,23,35
267,23,47
268,23,53
269,23,38
270,23,36
271,22,30
272,22,29
273,22,36
274,22,33
275,22,33
276,22,35
277,22,57
278,22,57
279,21,24
280,21,31
281,21,40
282,21,58
283,21,45
284,20,47
285,20,38
286,20,33
