cluster_id,nodes_in_cluster,intra_cluster_edges
0,102,2086
1,97,2082
2,87,1504
3,83,1272
4,82,1440
5,82,1395
6,78,1364
7,78,1259
8,77,1277
9,75,1457
10,73,1112
11,72,1025
12,71,1065
13,71,1105
14,70,1085
15,69,1092
16,69,1177
17,68,1006
18,68,1111
19,68,1008
20,66,1052
21,65,921
22,64,873
23,61,827
24,58,750
25,58,750
26,58,817
27,57,869
28,55,661
29,53,613
30,53,607
31,53,610
32,53,616
33,52,556
34,52,591
35,51,664
36,50,556
37,50,520
38,50,710
39,49,550
40,48,531
41,47,442
42,47,498
43,46,465
44,45,448
45,45,412
46,45,443
47,45,437
48,45,398
49,44,422
50,44,443
51,44,480
52,44,426
53,43,399
54,43,394
55,42,400
56,42,349
57,42,396
58,42,394
59,41,311
60,41,386
61,41,366
62,41,327
63,41,436
64,40,332
65,40,439
66,39,318
67,39,313
68,39,365
69,38,341
70,38,319
71,38,286
72,38,307
73,38,373
74,37,279
75,37,302
76,37,348
77,36,314
78,36,291
79,36,303
80,36,318
81,36,286
82,35,266
83,35,267
84,35,259
85,35,298
86,35,247
87,35,269
88,35,343
89,34,240
90,34,242
91,34,240
92,34,288
93,34,291
94,34,276
95,34,258
96,34,281
97,34,280
98,33,251
99,33,237
100,33,271
101,33,242
102,33,233
103,33,221
104,33,268
105,33,260
106,32,217
107,32,252
108,32,234
109,32,270
110,32,230
111,32,249
112,31,196
113,31,226
114,31,241
115,31,227
116,31,226
117,31,249
118,31,237
119,30,169
120,30,211
121,30,249
122,30,197
123,30,215
124,30,225
125,30,268
126,29,180
127,29,182
128,29,219
129,28,175
130,28,145
131,28,169
132,28,200
133,28,182
134,28,181
135,28,191
136,28,188
137,27,147
138,27,166
139,27,187
140,27,152
141,27,165
142,27,180
143,27,163
144,27,178
145,27,167
146,27,177
147,27,177
148,27,189
149,27,176
150,27,178
151,26,143
152,26,181
153,26,157
154,26,167
155,26,156
156,26,156
157,26,138
158,26,171
159,26,156
160,26,153
161,26,145
162,26,161
163,26,167
164,26,165
165,26,160
166,25,128
167,25,147
168,25,142
169,25,146
170,25,143
171,25,130
172,25,140
173,25,152
174,25,134
175,25,147
176,25,158
177,25,143
178,25,137
179,25,133
180,25,163
181,25,137
182,25,147
183,25,169
184,25,150
185,25,152
186,25,167
187,25,177
188,25,151
189,25,162
190,24,120
191,24,128
192,24,144
193,24,121
194,24,135
195,24,170
196,24,141
197,24,133
198,24,160
199,24,147
200,24,148
201,24,139
202,24,154
203,24,156
204,24,135
205,24,134
206,24,134
207,24,158
208,23,105
209,23,122
210,23,118
211,23,129
212,23,128
213,23,143
214,23,113
215,23,128
216,23,115
217,23,125
218,23,132
219,23,150
220,23,126
221,23,152
222,23,105
223,23,124
224,23,128
225,23,138
226,23,143
227,23,144
228,22,118
229,22,110
230,22,112
231,22,114
232,22,134
233,22,110
234,22,109
235,22,103
236,22,109
237,22,125
238,22,120
239,22,165
240,21,90
241,21,92
242,21,118
243,21,113
244,21,97
245,20,96
246,21,105
247,21,100
248,21,100
249,21,109
250,21,121
251,21,121
252,21,101
253,21,88
254,21,126
255,21,111
256,21,124
257,21,107
258,21,136
259,20,92
260,20,94
261,20,74
262,20,73
263,20,87
264,20,93
265,20,98
266,20,99
267,20,94
268,20,96
269,20,100
270,20,102
271,20,94
272,20,118
273,20,114
274,20,97
275,20,97
276,20,116
277,20,96
278,20,101
279,20,113
280,20,89
281,20,93
282,20,128
283,20,105
284,19,85
285,19,77
286,19,83
287,19,77
288,19,88
289,19,86
290,19,81
291,19,81
292,19,88
293,19,98
294,19,82
295,19,78
296,19,90
297,19,102
298,19,70
299,19,98
300,19,94
301,19,82
302,19,78
303,19,92
304,19,90
305,19,108
306,19,96
307,19,88
308,19,81
