cluster_id,nodes_in_cluster,intra_cluster_edges
0,1064,15874
1,1049,16103
2,948,14759
3,929,15577
4,800,10020
5,787,11221
6,780,10084
7,727,9326
8,675,6656
9,659,7587
10,629,8990
11,607,7192
12,604,8751
13,561,4984
14,552,5173
15,551,4671
16,534,5864
17,531,4169
18,481,5522
19,468,5648
20,452,4524
21,442,5693
22,435,4193
23,404,3225
24,390,3179
25,387,4663
26,380,4308
27,379,2403
28,364,3926
29,348,2735
30,337,3960
31,312,1960
32,308,1979
33,300,2553
34,265,1957
35,245,1997
36,243,1427
37,219,1549
38,215,1069
39,215,1099
40,201,1369
41,200,1118
42,200,1086
43,200,1258
44,200,1375
45,198,1041
46,193,675
47,192,1195
48,187,879
49,186,1467
50,184,785
51,180,1349
52,179,831
53,170,693
54,160,790
55,154,1092
56,151,900
57,148,539
58,144,746
59,144,906
60,140,518
61,140,598
62,133,534
63,130,750
64,128,1005
65,128,411
66,128,573
67,126,580
68,122,542
69,120,580
70,119,502
71,118,380
72,115,452
73,116,435
74,116,709
75,111,451
76,109,459
77,109,459
78,104,564
79,101,370
80,99,290
81,99,438
82,98,325
83,94,374
84,87,240
85,85,262
86,82,383
87,79,285
88,77,216
89,75,220
90,75,174
91,74,225
92,70,261
93,69,238
94,66,254
95,65,168
96,64,143
97,64,236
98,64,232
99,64,290
100,63,138
101,62,144
102,61,157
103,61,163
104,60,205
105,60,271
106,59,171
107,56,133
108,53,126
109,53,150
110,53,131
111,53,117
112,52,155
113,52,103
114,52,117
115,49,130
116,48,87
117,48,98
118,48,105
119,48,195
120,48,122
121,47,106
122,45,117
123,44,132
124,43,95
125,43,78
126,42,77
127,42,105
128,42,183
129,41,107
130,40,70
131,40,78
132,40,127
133,39,68
134,39,97
135,38,82
136,38,56
137,38,67
138,38,128
139,38,75
140,37,79
141,37,70
142,36,67
143,36,104
144,35,52
145,35,99
146,34,68
147,34,60
148,34,79
149,34,64
150,33,52
151,33,57
152,33,62
153,33,88
154,32,79
155,32,56
156,32,47
157,31,42
158,31,91
159,30,49
160,29,48
161,29,45
162,28,35
163,28,59
164,28,51
165,28,87
166,28,98
167,28,68
168,27,33
169,27,55
170,27,44
171,27,75
172,27,41
173,27,136
174,26,46
175,26,36
176,26,45
177,26,54
178,26,39
179,26,57
180,26,40
181,26,39
182,25,34
183,25,49
184,25,32
185,24,44
186,24,40
187,23,34
188,23,38
189,23,36
190,23,45
191,23,35
192,23,32
193,22,30
194,21,28
195,21,61
196,20,26
197,19,20
198,19,30
199,19,23
200,19,22
201,19,29
202,19,36
203,19,33
204,18,28
205,18,35
206,18,21
207,18,23
208,18,23
209,17,23
210,16,21
211,16,34
212,16,22
213,16,22
214,16,19
215,16,35
216,16,25
217,16,23
218,16,39
219,15,18
220,15,23
221,15,26
222,15,22
223,15,25
224,15,19
225,15,51
226,14,19
227,14,22
228,14,28
229,14,23
230,13,19
231,13,14
232,13,16
233,12,13
234,12,16
235,12,24
236,11,17
237,10,10
238,10,14
239,10,12
240,10,15
241,10,9
242,9,10
243,9,10
244,9,15
245,9,20
246,9,12
247,9,10
248,9,15
249,9,17
250,9,14
251,8,8
252,8,8
253,8,13
254,8,8
255,8,9
256,8,12
257,7,7
258,7,7
259,7,10
260,7,7
261,7,7
262,7,9
263,7,10
264,7,6
265,7,10
266,7,8
267,7,9
268,7,11
269,7,12
270,7,9
271,7,8
272,6,10
273,6,7
274,6,9
275,6,5
276,6,6
277,6,6
278,6,5
279,6,8
280,6,8
281,6,8
282,6,5
283,6,7
284,6,10
285,6,6
286,6,10
287,6,7
288,5,7
289,5,7
290,5,4
291,5,4
292,5,6
293,5,4
294,5,5
295,5,7
296,5,4
297,5,5
298,5,8
299,5,4
300,5,4
301,5,4
302,5,7
303,5,5
304,4,5
305,4,4
306,4,5
307,4,3
308,4,3
309,4,3
310,4,5
311,4,4
312,4,4
313,4,3
314,4,3
315,4,3
316,4,6
317,4,4
318,4,3
319,4,3
320,4,4
321,4,4
322,4,5
323,4,3
324,4,3
325,4,3
326,4,3
327,4,3
328,4,4
329,4,3
330,4,4
331,3,2
332,3,3
333,3,2
334,3,2
335,3,2
336,3,2
337,3,2
338,3,2
339,3,3
340,3,2
341,3,3
342,3,2
343,3,2
344,3,2
345,3,2
346,3,2
347,3,2
348,3,2
349,3,2
350,3,3
351,3,2
352,3,3
353,3,2
354,3,2
355,3,2
356,3,3
357,3,3
358,3,2
359,3,3
360,3,2
361,3,2
362,3,2
363,3,2
364,3,3
365,3,2
366,3,2
367,3,2
368,3,2
369,3,2
370,3,2
371,3,2
372,3,2
373,3,2
374,3,3
375,3,2
376,3,2
377,3,2
378,3,3
379,3,2
380,3,2
381,3,3
382,3,3
383,3,3
384,3,2
385,3,2
386,2,1
387,2,1
388,2,1
389,2,1
390,2,1
391,2,1
392,2,1
393,2,1
394,2,1
395,2,1
396,2,1
397,2,1
398,2,1
399,2,1
400,2,1
401,2,1
402,2,1
403,2,1
404,2,1
405,2,1
406,2,1
407,2,1
408,2,1
409,2,1
410,2,1
411,2,1
412,2,1
413,2,1
414,2,1
415,2,1
416,2,1
417,2,1
418,2,1
419,2,1
420,2,1
421,2,1
422,2,1
423,2,1
424,2,1
425,2,1
426,2,1
427,2,1
428,2,1
429,2,1
430,2,1
431,2,1
432,2,1
433,2,1
434,2,1
435,2,1
436,2,1
437,2,1
438,2,1
439,2,1
440,2,1
441,2,1
442,2,1
443,2,1
444,2,1
445,2,1
446,2,1
447,2,1
448,2,1
449,2,1
450,2,1
451,2,1
452,2,1
453,2,1
454,2,1
455,2,1
456,2,1
457,2,1
458,2,1
459,2,1
460,2,1
461,2,1
462,2,1
463,2,1
464,2,1
465,2,1
466,2,1
467,2,1
468,2,1
469,2,1
470,2,1
471,2,1
472,2,1
473,2,1
474,2,1
475,2,1
476,2,1
477,2,1
478,2,1
479,2,1
480,2,1
481,2,1
482,2,1
483,2,1
484,2,1
485,2,1
486,2,1
487,2,1
488,2,1
489,2,1
490,2,1
491,2,1
492,2,1
493,2,1
494,2,1
495,2,1
496,2,1
497,2,1
498,2,1
499,2,1
500,2,1
501,2,1
502,2,1
503,2,1
504,2,1
505,2,1
506,2,1
507,2,1
508,2,1
509,2,1
510,2,1
511,2,1
512,2,1
513,2,1
514,2,1
515,2,1
516,2,1
517,2,1
518,2,1
519,2,1
520,2,1
521,2,1
522,2,1
523,2,1
524,2,1
525,2,1
526,2,1
527,2,1
