cluster_id,nodes_in_cluster,intra_cluster_edges
0,166,3300
1,161,3637
2,156,3265
3,154,3002
4,143,2492
5,141,2335
6,141,2913
7,140,2552
8,136,2405
9,129,2275
10,124,2094
11,124,2161
12,115,1938
13,113,1899
14,111,1689
15,108,1962
16,106,1693
17,106,1591
18,105,1541
19,103,1571
20,101,1751
21,98,1284
22,96,1320
23,94,1070
24,92,1433
25,91,1176
26,88,1135
27,85,1091
28,81,878
29,81,889
30,81,943
31,81,802
32,79,739
33,77,870
34,77,790
35,76,826
36,76,1039
37,75,882
38,74,1053
39,73,775
40,72,696
41,72,751
42,71,882
43,69,598
44,67,711
45,66,652
46,66,647
47,66,858
48,65,618
49,64,608
50,63,497
51,63,571
52,63,644
53,62,545
54,62,527
55,61,549
56,61,476
57,61,496
58,60,650
59,60,556
60,59,532
61,58,506
62,58,574
63,57,564
64,57,495
65,57,584
66,57,518
67,56,358
68,56,411
69,56,564
70,56,452
71,56,408
72,56,512
73,56,454
74,55,469
75,55,700
76,54,456
77,54,468
78,53,430
79,53,384
80,53,551
81,53,420
82,52,360
83,52,380
84,52,421
85,52,371
86,51,412
87,51,445
88,50,329
89,50,328
90,50,395
91,49,344
92,49,393
93,48,330
94,48,405
95,48,357
96,48,382
97,47,344
98,47,312
99,47,375
100,46,375
101,46,315
102,45,306
103,45,348
104,45,411
105,44,301
106,44,345
107,44,297
108,44,320
109,44,315
110,43,235
111,43,274
112,43,263
113,43,338
114,42,226
115,42,268
116,42,238
117,41,230
118,41,242
119,41,235
120,41,268
121,41,207
122,41,288
123,40,232
124,40,236
125,40,268
126,40,260
127,40,244
128,39,209
129,39,206
130,39,236
131,39,226
132,39,244
133,39,264
134,39,218
135,39,307
136,39,265
137,39,297
138,39,293
139,38,216
140,38,212
141,38,268
142,38,266
143,38,265
144,37,212
145,37,215
146,37,217
147,37,232
148,37,280
149,37,251
150,37,188
151,37,299
152,37,228
153,36,190
154,36,246
155,36,229
156,36,217
157,36,237
158,36,185
159,36,239
160,36,200
161,36,233
162,36,248
163,36,293
164,35,171
165,35,183
166,35,206
167,35,190
168,35,214
169,35,197
170,35,253
171,35,210
172,35,198
173,34,183
174,34,170
175,34,173
176,34,245
177,34,219
178,34,217
179,34,234
180,33,169
181,33,190
182,33,195
183,33,174
184,33,171
185,33,179
186,33,283
187,32,145
188,32,140
189,32,177
190,32,165
191,32,127
192,32,134
193,32,206
194,32,154
195,31,125
196,31,142
197,31,125
198,31,150
199,31,155
200,31,170
201,31,169
202,31,171
203,31,195
204,31,158
205,31,175
206,31,188
207,31,159
208,31,165
209,31,189
210,30,124
211,30,135
212,30,142
213,30,185
214,30,136
215,30,163
216,30,152
217,30,174
218,30,165
219,30,134
220,30,156
221,30,176
222,30,184
223,30,164
224,29,126
225,29,129
226,29,152
227,29,136
228,29,170
229,29,193
230,29,184
231,28,128
232,28,112
233,28,108
234,28,126
235,28,125
236,28,152
237,28,123
238,28,146
239,28,140
240,28,135
241,28,140
242,28,131
243,27,117
244,27,109
245,27,114
246,27,129
247,27,129
248,27,109
249,27,158
250,27,141
251,27,122
252,27,168
253,27,114
254,27,142
255,27,113
256,27,160
257,27,138
258,26,94
259,26,97
260,26,103
261,26,132
262,26,112
263,26,111
264,26,127
265,26,130
266,26,118
267,26,122
268,26,115
269,26,109
270,25,119
271,25,79
272,25,119
273,25,116
274,25,104
275,25,95
276,25,103
277,25,101
278,25,104
279,25,106
280,25,141
281,25,114
282,25,178
283,24,109
284,24,89
285,24,92
286,24,93
287,24,114
288,24,98
289,24,112
290,24,100
291,24,89
292,24,95
293,24,95
294,24,104
295,24,104
296,24,139
297,23,108
298,24,123
299,24,101
300,23,105
301,23,96
302,23,80
303,23,90
304,23,83
305,23,110
306,23,102
307,23,105
308,23,137
309,23,88
310,23,118
311,23,79
312,23,94
313,23,106
314,23,86
315,22,78
316,22,85
317,22,79
318,22,93
319,22,75
320,22,95
321,22,92
322,22,89
323,22,79
324,22,109
325,22,99
326,22,88
327,22,142
328,22,72
329,22,112
330,22,89
331,22,82
332,22,88
333,22,112
334,21,65
335,21,66
336,21,60
337,21,93
338,21,79
339,21,73
340,21,76
341,21,69
342,21,57
343,21,88
344,21,82
345,21,79
346,21,91
347,21,65
348,21,93
349,21,81
350,21,90
351,21,117
352,20,63
353,20,76
354,20,74
355,20,80
356,20,54
357,20,51
358,20,82
359,20,74
360,20,76
361,20,65
362,20,71
363,20,63
364,20,88
365,20,50
366,20,73
367,20,80
368,20,98
369,20,70
370,20,61
371,20,83
372,20,84
373,20,71
374,20,98
375,20,73
376,20,80
377,20,85
378,20,81
379,20,79
380,20,86
381,20,75
382,19,75
383,19,57
384,19,57
385,19,61
386,19,49
387,19,53
388,19,68
389,19,63
390,19,65
391,19,61
392,19,67
393,19,69
394,19,70
395,19,87
396,19,79
397,19,62
398,19,48
399,19,72
400,19,102
401,19,64
402,19,64
403,19,66
404,19,72
405,19,87
406,19,94
407,19,62
408,19,90
409,19,76
410,18,46
411,18,54
412,18,45
413,18,53
414,18,58
415,18,49
416,18,57
417,18,59
418,18,59
419,18,56
420,18,53
421,18,64
422,18,62
423,18,55
424,18,66
425,18,58
426,18,48
427,18,89
428,18,82
429,18,64
430,18,70
431,18,58
432,18,63
433,18,68
434,17,49
435,17,42
436,17,48
437,17,50
438,17,57
439,17,49
440,17,40
441,17,41
442,17,55
443,17,56
444,17,55
445,17,51
446,17,54
447,17,70
448,17,49
449,17,57
450,17,66
451,17,49
452,17,60
453,17,52
454,17,62
455,17,56
456,17,60
457,17,61
458,17,73
459,17,73
460,17,63
461,16,45
462,16,45
463,16,38
464,16,54
465,16,50
466,16,53
467,16,44
468,16,40
469,16,52
470,16,50
471,16,56
472,16,47
473,16,50
474,16,59
475,16,56
476,16,49
477,16,63
478,16,52
479,16,67
480,16,56
481,16,63
482,16,37
483,16,41
484,16,60
485,16,49
486,16,60
487,16,59
488,16,52
489,16,43
490,16,66
491,16,56
492,16,58
493,16,44
494,15,27
495,15,40
496,15,40
497,15,45
498,15,34
499,15,36
500,15,33
501,15,41
502,15,47
503,15,48
504,15,42
505,15,55
506,15,51
507,15,35
508,15,36
509,15,47
510,15,42
511,15,52
512,15,46
513,15,37
514,15,46
515,15,48
516,15,44
517,15,50
518,15,58
519,15,43
520,15,47
521,15,46
522,15,64
523,15,48
524,15,50
525,15,45
526,15,48
527,15,48
528,14,37
529,14,38
530,14,38
531,14,33
532,14,39
533,14,30
534,14,35
535,14,47
536,14,33
537,14,35
538,14,38
539,14,45
540,14,32
541,14,55
542,14,46
543,14,33
544,14,23
545,14,39
546,14,40
547,14,40
548,14,37
549,14,39
550,14,34
551,14,37
552,14,37
553,14,34
554,14,37
555,14,32
556,14,37
557,14,31
558,14,46
559,14,47
560,14,57
561,14,36
562,14,33
563,14,28
564,14,39
565,14,42
566,14,47
567,14,43
568,14,54
569,14,43
570,14,40
571,14,38
572,14,44
573,14,46
574,14,39
575,14,39
576,14,47
577,14,57
578,14,62
579,14,52
580,14,50
581,13,27
582,13,30
583,13,35
584,13,34
585,13,31
586,13,30
587,13,26
588,13,29
589,13,33
590,13,33
591,13,33
592,13,38
593,13,38
594,13,33
595,13,40
596,13,28
597,13,37
598,13,38
599,13,34
600,13,40
601,13,34
602,13,29
603,13,40
604,13,38
605,13,36
606,13,36
607,13,26
608,13,37
609,13,32
610,13,33
611,13,33
612,13,33
613,13,30
614,13,33
615,13,30
616,13,35
617,13,31
618,13,32
619,13,39
620,13,31
621,13,42
622,13,39
623,13,40
624,13,42
625,13,38
626,13,44
627,13,53
628,13,47
629,12,23
630,12,26
631,12,27
632,12,25
633,12,23
634,12,24
635,12,29
636,12,36
637,12,25
638,12,26
639,12,26
640,12,27
641,12,20
642,12,26
643,12,24
644,12,18
645,12,24
646,12,29
647,12,31
